first_name,last_name,email,remaining_goal_amount
calogero.cross@mercantini.it,Calogero,Cross,153288.00
lauretta.neal@hotmail.de,Lauretta,Neal,151747.00
chantal.armas@jenkins.net,Chantal,Armas,98164.00
ariadna.geisel@rangel.com,Ariadna,Geisel,88154.00
mathilde.kruschwitz@yahoo.com,Mathilde,Kruschwitz,72323.00
guillermina.nicholson@grondin.fr,Guillermina,Nicholson,71872.00
henry.gucci@leleu.fr,Henry,Gucci,41198.00
gabriela.padilla@pearson-russell.com,Gabriela,Padilla,40291.00
svenja.perrin@berger.com,Svenja,Perrin,8362.00
caroline.reeves@yahoo.com,Caroline,Reeves,3768.00
katarina.clarke@hotmail.com.au,Katarina,Clarke,3739.00
imelda.guerin@stumpf.net,Imelda,Guerin,1559.00
danny.farrell@hotmail.com,Danny,Farrell,1503.00
tobias.carbajal@live.com,Tobias,Carbajal,426.00
